	fund_code	fund_name	fund_percent	fund_holding	stock_code	stock_name	stock_percent	stock_holding
0	007749	民生加银鹏程混合C	20.56	252122.51	002475	立讯精密	0.96	2420.38
1	007749	民生加银鹏程混合C	20.56	252122.51	601100	恒立液压	0.91	2294.31
2	007749	民生加银鹏程混合C	20.56	252122.51	000725	京东方A	0.86	2168.25
3	007749	民生加银鹏程混合C	20.56	252122.51	000858	五粮液	0.78	1966.56
4	007749	民生加银鹏程混合C	20.56	252122.51	600519	贵州茅台	0.76	1916.13
5	007749	民生加银鹏程混合C	20.56	252122.51	300601	康泰生物	0.61	1537.95
6	007749	民生加银鹏程混合C	20.56	252122.51	000661	长春高新	0.46	1159.76
7	007749	民生加银鹏程混合C	20.56	252122.51	688111	金山办公	0.43	1084.13
8	007749	民生加银鹏程混合C	20.56	252122.51	000100	TCL科技	0.43	1084.13
9	007749	民生加银鹏程混合C	20.56	252122.51	600276	恒瑞医药	0.41	1033.7
10	006585	南方宝元债券C	10.46	128268.55	601939	建设银行	3.96	5079.43
11	006585	南方宝元债券C	10.46	128268.55	600036	招商银行	1.91	2449.93
12	006585	南方宝元债券C	10.46	128268.55	601166	兴业银行	1.59	2039.47
13	006585	南方宝元债券C	10.46	128268.55	601009	南京银行	1.38	1770.11
14	006585	南方宝元债券C	10.46	128268.55	601088	中国神华	1.08	1385.3
15	006585	南方宝元债券C	10.46	128268.55	002142	宁波银行	0.88	1128.76
16	006585	南方宝元债券C	10.46	128268.55	000895	双汇发展	0.69	885.05
17	006585	南方宝元债券C	10.46	128268.55	600519	贵州茅台	0.64	820.92
18	006585	南方宝元债券C	10.46	128268.55	600600	青岛啤酒	0.58	743.96
19	006585	南方宝元债券C	10.46	128268.55	600887	伊利股份	0.55	705.48
20	008127	广发趋势优选混合C	10.25	125693.37	002044	美年健康	0.4	502.77
21	008127	广发趋势优选混合C	10.25	125693.37	002080	中材科技	0.38	477.63
22	008127	广发趋势优选混合C	10.25	125693.37	601233	桐昆股份	0.36	452.5
23	008127	广发趋势优选混合C	10.25	125693.37	300010	豆神教育	0.36	452.5
24	008127	广发趋势优选混合C	10.25	125693.37	600887	伊利股份	0.36	452.5
25	008127	广发趋势优选混合C	10.25	125693.37	300428	四通新材	0.35	439.93
26	008127	广发趋势优选混合C	10.25	125693.37	002773	康弘药业	0.35	439.93
27	008127	广发趋势优选混合C	10.25	125693.37	002212	南洋股份	0.35	439.93
28	008127	广发趋势优选混合C	10.25	125693.37	002179	中航光电	0.35	439.93
29	008127	广发趋势优选混合C	10.25	125693.37	603708	家家悦	0.34	427.36
30	009308	天弘安康颐养混合C	10.24	125570.75	600519	贵州茅台	1.57	1971.46
31	009308	天弘安康颐养混合C	10.24	125570.75	600887	伊利股份	1.18	1481.73
32	009308	天弘安康颐养混合C	10.24	125570.75	600036	招商银行	1.12	1406.39
33	009308	天弘安康颐养混合C	10.24	125570.75	002508	老板电器	1.05	1318.49
34	009308	天弘安康颐养混合C	10.24	125570.75	600690	海尔智家	1.05	1318.49
35	009308	天弘安康颐养混合C	10.24	125570.75	603899	晨光文具	1.03	1293.38
36	009308	天弘安康颐养混合C	10.24	125570.75	000333	美的集团	1.0	1255.71
37	009308	天弘安康颐养混合C	10.24	125570.75	601318	中国平安	0.96	1205.48
38	009308	天弘安康颐养混合C	10.24	125570.75	000651	格力电器	0.96	1205.48
39	009308	天弘安康颐养混合C	10.24	125570.75	600030	中信证券	0.87	1092.47
40	485011	工银双利债券B	9.76	119684.62	600570	恒生电子	1.3	1555.9
41	485011	工银双利债券B	9.76	119684.62	600547	山东黄金	1.03	1232.75
42	485011	工银双利债券B	9.76	119684.62	002008	大族激光	0.72	861.73
43	485011	工银双利债券B	9.76	119684.62	603195	公牛集团	0.64	765.98
44	485011	工银双利债券B	9.76	119684.62	002027	分众传媒	0.56	670.23
45	485011	工银双利债券B	9.76	119684.62	300059	东方财富	0.49	586.45
46	485011	工银双利债券B	9.76	119684.62	000538	云南白药	0.45	538.58
47	485011	工银双利债券B	9.76	119684.62	300451	创业慧康	0.37	442.83
48	485011	工银双利债券B	9.76	119684.62	002292	奥飞娱乐	0.34	406.93
49	485011	工银双利债券B	9.76	119684.62	300454	深信服	0.33	394.96
50	006060	鹏扬泓利债券C	9.7	118948.85	601939	建设银行	2.42	2878.56
51	006060	鹏扬泓利债券C	9.7	118948.85	601328	交通银行	2.2	2616.87
52	006060	鹏扬泓利债券C	9.7	118948.85	601818	光大银行	2.0	2378.98
53	006060	鹏扬泓利债券C	9.7	118948.85	000002	万科A	1.95	2319.5
54	006060	鹏扬泓利债券C	9.7	118948.85	600028	中国石化	1.5	1784.23
55	006060	鹏扬泓利债券C	9.7	118948.85	600000	浦发银行	1.25	1486.86
56	006060	鹏扬泓利债券C	9.7	118948.85	000725	京东方A	1.05	1248.96
57	006060	鹏扬泓利债券C	9.7	118948.85	601668	中国建筑	0.77	915.91
58	006060	鹏扬泓利债券C	9.7	118948.85	601800	中国交建	0.76	904.01
